title,company_name,location,pay,job_type,description
Legislative Affairs Specialist,TSA (Transportation Security Administration),"Springfield, VA","$117,962 - $153,354 por año",not specified,
Legislative Affairs Specialist,TSA (Transportation Security Administration),"Springfield, VA","$117,962 - $153,354 por año",not specified,"Overview
Legislative Affairs Specialist
Open & closing dates
03/08/2024 to 03/15/2024
Pay scale & grade
SV I
Appointment type
Salary
$117,962.00 to $153,354.00 PA
Work schedule
Location
Springfield, Virginia
Duties
Summary
Securing Travel, Protecting People - At the Transportation Security Administration, you will serve in a high-stakes environment to safeguard the American way of life. In cities across the country, you would secure airports, seaports, railroads, highways, and/or public transit systems, thus protecting America's transportation infrastructure and ensuring freedom of movement for people and commerce.
Announcement number
HQ-DR-425898-12334196-P
Control number
780838500"
"Specialist, Brand Marketing",Red Bull,"Riverside, CA","$60,000 - $70,000 por año",Full-time,"Company Description
Reporting to the Manager, Brand Marketing (BMM), you will oversee Red Bull's local sampling and collegiate marketing efforts, driving trial, supporting sales, and building brand love through our Student Marketeer (SM) program, in-market. The Student Marketeer program is an important part of our marketing strategy, you will coach Student Marketeer’s to be the local face to our global brand and bring the World of Red Bull and our campaigns to life on campus and in-market, reaching new entry-point consumers.
Job Description
PEOPLE MANAGEMENT
Hire and manage a dynamic team that represents our brand values
Lead trainings and build tools to ensure that Student Marketeer teams are successful
Provide direct and productive coaching to maximize team impact
Empower Student Marketeers to produce new ideas to increase trial, support sales and excite consumers
Conduct regular market visits with the Student Marketeers to better coach and guide them
INCREASE TRIAL AND BUILD BRAND RELEVANCE
Build a localized plan with your Brand Marketing Manager to increase product trial and brand relevance
Manage local resource allocation (e.g. budgets, cans, hours) based on strategy
Conduct regular market visits to better understand the local market, the consumer and areas of opportunity
Develop new opportunities beyond existing programs to attract new entry-point consumers
Analyze and plan against program goals and priorities to run a successful program
COLLABORATION AND DISCOVERY
Build relationships with internal sales and marketing teams to maximize program impact
Build relationships with external teams to drive in-market collaboration
Support national and regional brand campaigns (e.g. product launches, brand building events, and sal
Qualifications
Project management experience delivering projects from ideation to execution
Experience presenting and facilitating trainings and meetings
Success in collaborative and creative environments
Collegiate marketing and sampling experience
Must have a valid US Drivers License
Additional Information
The base salary range for this position is $60,000 to $70,000 + cash incentives Actual salary offer may vary based on work experience. The base pay range is subject to change and may be modified in the future.
Our current Benefits include:
Comprehensive Medical, Dental and Vision Plans, 401k Match, Family Leave, PTO & Paid Holiday Schedule, Pet, Legal, and Life Insurance, Tuition Reimbursement (Benefits listed may vary depending on the nature of your employment and/or work location)
Red Bull North America, Inc. is an Equal Opportunity Employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, veteran status, age, or any other classification protected by Federal, state, or local law. We will consider for employment all qualified Applicants, including those with Criminal Histories, in a manner consistent with the requirements of applicable state and local laws, including the City of Los Angeles’ Fair Chance Initiative for Hiring Ordinance."
Content Moderator for Ed Tech Company,Miaplaza Inc.,Remote,$19 - $23 por hora,Part-time,"About Us
At Miaplaza, our vision is to elevate online learning and make it more effective than ever before. We apply the most successful approaches in virtual education to create a homeschool curriculum platform where students from different backgrounds can be successful, including kids with learning disabilities. Our platform allows users to personalize each student’s learning path in a way that exceeds the possibilities of the traditional classroom setting. Every lesson we develop goes through a collaborative creation process and multiple review phases from experts in different fields/disciplines. Our main K-8 curriculum platform is Miacademy, and our high school platform is MiaPrep.
We are growing! Our student base is growing rapidly and we are currently hiring for multiple positions across several departments! Our expansion stems from two key factors: our commitment to providing exceptional educational content to our students by scaling our team with passionate individuals, and our pursuit of new opportunities to enhance our students' learning experiences by broadening our capabilities and expertise as an organization.
About the Role
We are seeking a highly motivated and enthusiastic part-time Virtual Content Moderator to join our team! This position is focused on moderating texts, artwork, and videos posted by children in our educational website community. As a moderator, you will work 4-hour shifts, with the option to work two back-to-back shifts in a day. Additionally, staying up to date with the latest trends is crucial to better understand and relate to our young audience. There also many opportunities for growth in other areas of the company.
To get a feel for what it's like to work as a moderator at Miaplaza, please check out this TikTok: https://www.tiktok.com/@miaplazalearning/video/7190520345714085166
You can also hear our CEO, Johannes Ziegler, discuss our company in this podcast: https://www.youtube.com/watch?v=7mabdbqbSco&t=23s&ab_channel=Universit%C3%A4tStuttgart.
Required Skills:
Tech-savvy: Ability to quickly learn and adapt to various computer applications.
Trend-awareness: Staying up to date with the latest trends to better understand and relate to the young audience.
Independent and self-motivated: Being remote, you need to hold yourself accountable for tasks and ongoing responsibilities with little supervision.
Quick learner: Demonstrated ability to absorb and utilize new information efficiently.
Detail-oriented: Strong attention to detail to ensure content moderation accuracy.
Problem-solving and critical thinking: Proven experience in independently solving technical problems and providing solutions or workarounds.
Excellent interpersonal and communication skills: Exemplary written and spoken English language skills and fast typing abilities.
Trust & integrity: Commitment to doing what is right and maintaining ethical standards.
Empathy and patience: Ability to interact with child members and their parents compassionately and patiently.
Resilient and adaptable: Capacity to take critical feedback and handle difficult customer situations effectively.
Team player: Excellent communication and collaboration with internal teams and external customers.
Reliable high-speed internet and computer: Access to a laptop or desktop with a high-speed internet connection that supports multitasking, including video.
Pay: $19.00 - $23.00 per hour
Benefits: We offer health, dental, and vision insurance for all full-time employees! Our health insurance will also include specialty care like fertility benefits and chiropractic care. We want our employees to have the care and support they need.
Location: Fully remote, but applicants must live in the U.S.
Job Type: Part-time
Pay: $19.00 - $23.00 per hour
Expected hours: 20 – 30 per week
Benefits:
401(k)
401(k) matching
Employee assistance program
Employee discount
Flexible schedule
Paid time off
Parental leave
Tuition reimbursement
Schedule:
Monday to Friday
Weekends as needed
Work Location: Remote"
Administrative Assistant (Supporting the Hospital Global Marketing Team),Pfizer,"New York, NY",$31.99 - $53.31 por hora,Full-time,"Why Patients Need You
A career with us is about discovering breakthroughs that change patients’ lives. A high performing administrative team is essential to bringing those therapies to people all over the world and making a positive difference. We need dedicated colleagues like you who are efficient, find solutions and collaborate with others to achieve our purpose.
At Pfizer Hospital, we are committed to delivering breakthroughs that change both standards of care for patients as well as the standard of practice for our hospital stakeholders. Our portfolio is unique in its breadth and depth, with over 600 products across 12 therapeutic areas. We are the #1 player globally in Anti-infectives and the #1 Global Sterile Injectables company. In 2022 alone, the Hospital business touched the lives of over 200 million patients globally, including 27 million patients treated with our Anti-Infectives.
This Administrative Assistant role reports to the Global Marketing Lead, Congress
Strategy and Operations (Hospital) and will be responsible for providing administrative support to the Hospital Global Marketing team including team’s HCP contracting activities. The role involves leading/supporting several project initiatives as well as day-to-day administrative responsibilities.
What You Will Achieve
Your strong communication and collaboration skills will help the administrative team to run its operations efficiently. You will focus primarily on administrative coordination to functional areas. You will also be responsible for managing records and files, verifying data, responding to mails and scheduling meetings, amongst other things.
As part of the administrative support team, you have comprehensive knowledge and skills in your area and understand how related areas impact it. You take initiative to represent your department on cross-functional teams. You are proactive in sharing knowledge and expertise with others in your work group. You are seen as someone who promotes teamwork and always motivates others to achieve team objectives. Your systematic approach and organizational abilities will ensure that communication between departments and teams is seamless.
It is your hard work and focus that will make Pfizer ready to achieve new milestones and help patients across the globe.
How You Will Achieve It
Provide the full range of administrative support activities to the Hospital Global Marketing full team, across multiple leaders, including managing complex global calendars, scheduling high-level, time-sensitive meetings, managing travel arrangements and completing expenses.
Assist with meeting scheduling, conference room reservations, teleconference set-up, external individual visit to the site and associated meeting logistics.
Provide administrative support to the Hospital Global Marketing full team with internal/external meeting planning and travel support.
Complete quality work on a timely basis, using judgment to identify most urgent issues and working to resolve them immediately.
Create and maintain distribution lists, organizational charts and maintain electronic files. Support projects and initiatives as needed.
Manage meeting minutes, meeting follow-ups and expedite flow of work.
Manage Purchase Order’s through the Ariba and ePA3 systems, also tracking payment of invoices as requested.
Coordinate all Hospital Global Marketing internal communications – including, but not limited to: SharePoint, announcements, Teams channels. Manage document resources on SharePoint site.
Provide support to the Hospital Marketing Ops team for the end-to-end centralized HCP contracting compliance service for brand teams.
Act as a point of contact for primary advice and guidance for HCP contracting related compliance questions.
Work with brand teams and key stakeholders to identify opportunities and optimize processes around HCP contracting.
Take personal accountability for quality of own work that impacts the department and understands impacts of actions.
Work well in self-directed environment, with minimal instruction, assumes increased levels of responsibility and takes accountability for decisions and outcomes.
Provide back-up assistance in the absence of other administrative colleagues.
Manage own time, professional development and prioritize workflow.
Qualifications
Must-Have
Experience working at the executive administrative level at Pfizer.
Undergraduate degree (BS/BA) or equivalent experience
3-5 years of pharmaceutical industry experience. Pfizer experience preferred.
5+ years of experience as an executive administrative assistant or coordinator experience
Ability to work effectively in a team-based environment and partner with internal/external stakeholders.
Very detailed-oriented, self-starter, proactive, solution-seeking attitude, anticipating team needs and actively identifying opportunities to strengthen results.
Strong verbal and written communication skills - ability to mobilize team members and engage leadership.
Demonstrated project management experience.
Business acumen, Decision making, and demonstrated flexibility.
Ability to navigate internal organization/processes.
Excellent judgment as well as the ability to work with extremely confidential documents and information and excellent follow-up skills.
Strong working knowledge of Microsoft Word, Excel, PowerPoint, Outlook, and OneNote
Ability and willingness to handle special projects.
Availability to work flexible hours (early AM, overtime, etc.) when needed but not likely to be frequent.
Nice-to-Have
Bachelor's Degree
Global, regional, or local experience with HCP contracting tools like Engage Plus or MAPP is a strong advantage.
Experience using applications, such as Concur, ePA3, WebEx, SharePoint and Ariba
Ability to take direction and work with minimal oversight.
NON-STANDARD WORK SCHEDULE, TRAVEL OR ENVIRONMENT REQUIREMENTS
Max 10% travel
Other Job Details
Last day to apply: March 19, 2024.
Work Location Assignment: On Premise.
The salary for this position ranges from $31.99 to $53.31 per hour. In addition, this position offers eligibility for overtime, weekend, holiday and other pay premiums depending on the work schedule and the Company’s policies. We offer comprehensive and generous benefits and programs to help our colleagues lead healthy lives and to support each of life’s moments. Benefits offered include a 401(k) plan with Pfizer Matching Contributions and an additional Pfizer Retirement Savings Contribution, paid vacation, holiday and personal days, paid caregiver/parental and medical leave, and health benefits to include medical, prescription drug, dental and vision coverage. Learn more at Pfizer Candidate Site – U.S. Benefits | (uscandidates.mypfizerbenefits.com). Pfizer compensation structures and benefit packages are aligned based on the location of hire. The United States salary range provided applies only to the United States - New York - New York City location.
Relocation assistance may be available based on business needs and/or eligibility.
Sunshine Act
Pfizer reports payments and other transfers of value to health care providers as required by federal and state transparency laws and implementing regulations. These laws and regulations require Pfizer to provide government agencies with information such as a health care provider’s name, address and the type of payments or other value received, generally for public disclosure. Subject to further legal review and statutory or regulatory clarification, which Pfizer intends to pursue, reimbursement of recruiting expenses for licensed physicians may constitute a reportable transfer of value under the federal transparency law commonly known as the Sunshine Act. Therefore, if you are a licensed physician who incurs recruiting expenses as a result of interviewing with Pfizer that we pay or reimburse, your name, address and the amount of payments made currently will be reported to the government. If you have questions regarding this matter, please do not hesitate to contact your Talent Acquisition representative.
EEO & Employment Eligibility
Pfizer is committed to equal opportunity in the terms and conditions of employment for all employees and job applicants without regard to race, color, religion, sex, sexual orientation, age, gender identity or gender expression, national origin, disability or veteran status. Pfizer also complies with all applicable national, state and local laws governing nondiscrimination in employment as well as work authorization and employment eligibility verification requirements of the Immigration and Nationality Act and IRCA. Pfizer is an E-Verify employer. This position requires permanent work authorization in the United States.
Administrative"
Marketing Coordinator (Remote),Parsons,Remote,"$61,200 - $107,100 por año",Full-time,"In a world of possibilities, pursue one with endless opportunities. Imagine Next!
When it comes to what you want in your career, if you can imagine it, you can do it at Parsons. Imagine a career working with intelligent, diverse people sharing a common quest. Imagine a workplace where you can be yourself. Where you can thrive. Where you can find your next, right now. We’ve got what you’re looking for.
Job Description:
Parsons is looking for an amazingly talented Marketing Coordinator to join our team! In this role you will get to advance our global infrastructure brand through an integrated marketing approach.
The Marketing Coordinator will be responsible for:
Partnering closely with Parsons’ infrastructure business on marketing communication campaigns, including tradeshows and events, sponsorships, and memberships
Managing multiple tradeshows and events – from planning through execution – simultaneously, ensuring events remain on-schedule and on-budget
Collaborating across multiple teams to ensure the marketing and events approach effectively advances our business objectives
Creating reliable financial reports and ensuring payments occur on time
Assist in devising marketing plans and timelines that promote Parsons’ infrastructure business across various channels including email, web, and print media.
Coordinate conference attendance logistics, including managing attendee lists, marketing materials, and speaker arrangements.
Coordinate meetings, conferences, and develop production timelines.
Undertake daily administrative tasks and support data management for the marketing & communications team as well as other stakeholders.
A successful candidate will possess the following skills and attributes:
An undergraduate degree in Marketing, Communications, or a related field
Collaborative and focused on continued partnership
At least one-three years of experience in a related field
Excellent written and verbal communication skills
Proficient in Microsoft Office
Skills in Adobe Creative Suite or ClickUp are encouraged
Highly organized individual with attention to detail
Strong communication and interpersonal skills
Creative problem solver
US Person
Minimum Clearance Required to Start:
Not Applicable/None
This position is part of our Corporate team.
We’re driving the future of the national security and critical infrastructure markets. Our employees work in a close-knit team environment to find new, innovative ways to deliver smart solutions that are used and valued by customers around the world. By combining unique technologies with deep domain expertise across cybersecurity, missile defense, space, connected infrastructure, transportation, smart cities, and more, we're providing tomorrow's solutions today.
Salary Range:
$61,200.00 - $107,100.00
We value our employees and want our employees to take care of their overall wellbeing, which is why we offer best-in-class benefits such as medical, dental, vision, paid time off, Employee Stock Ownership Plan (ESOP), 401(k), life insurance, flexible work schedules, and holidays to fit your busy lifestyle!
The position may require a COVID vaccination or an approved accommodation/exemption for a disability/medical condition or religious belief as required by customer requirements and some cases federal, state, provincial or local mandates.
This position will be posted for a minimum of 3 days and will continue to be posted for an average of 30 days until a qualified applicant is selected or the position has been cancelled.
Parsons is an equal opportunity employer committed to diversity, equity, inclusion, and accessibility in the workplace. Diversity is ingrained in who we are, how we do business, and is one of our company’s core values. Parsons equally employs representation at all job levels for minority, female, disabled, protected veteran and LGBTQ+.
We truly invest and care about our employee’s wellbeing and provide endless growth opportunities as the sky is the limit, so aim for the stars! Imagine next and join the Parsons quest—APPLY TODAY!"
Marketing Coordinator,Coterie Insurance,Remote,"$40,000 - $50,000 por año",Full-time,"About Coterie Applications Inc.
Our HQ is in Blue Ash, Ohio (4455 Carver Woods Dr, Blue Ash, OH 45242), but we operate as a 100% digital business which makes it easy to work remotely as your role allows
Coterie is a business insurance startup that distributes flexible-term policies on our website and partner platforms. We value integrity, humility, passion, and intelligence. If you want to push yourself, promote social good, and re-shape a $200B+ market, we’re excited to talk to you.
What will the Marketing Coordinator Do?
Content Creation:
Develop compelling and engaging content for various marketing channels, including blog posts, email campaigns, and website content.
Collaborate with subject matter experts to create industry-specific content that resonates with our target audience.
Marketing Project Coordination:
Assist with the planning, execution, and completion of various marketing projects.
Coordinate with internal teams and external vendors to ensure project milestones are met on time and within budget.
Maintain project documentation, track progress, and report regularly on project status.
Ideate improved project management and coordination amongst Marketing team members.
Event Coordination:
Plan and execute sales/marketing events, both virtual and in-person, to promote our brand and engage with clients and prospects.
Collaborate with cross-functional teams to ensure seamless event execution.
Analytics and Reporting:
Utilize analytics tools such as Google Analytics and PowerBI to track and report on key performance indicators (KPIs) for marketing initiatives.
Provide regular reports and insights to leadership, recommending adjustments to enhance marketing effectiveness.
Campaign Management:
Create comprehensive campaign tracking for the marketing team to report results.
Support campaign launches with list creation, research, and prospecting responsibilities.
Brand Alignment:
Ensure consistency and adherence to brand guidelines across all marketing materials.
Contribute to the development and maintenance of brand identity, ensuring it aligns with Coterie’s values and objectives!
Superpowers we are looking for!
Tech-savvy: Comfortable with marketing technology and tools, and a willingness to embrace innovations.
Creative thinker: Innate creativity to develop unique and compelling content that captures the audience's attention.
Adaptability: Thrives in a fast-paced environment and can adapt quickly to changing priorities.
Collaborative spirit: Proven ability to collaborate effectively with cross-functional teams and external partners.
Extras that are awesome but not required!
Salesforce Marketing Cloud experience
AI tools experience
What to expect!
Our hiring process generally consists of 3 phases.
Phase 1: Qualified candidates will first meet with HR for a phone interview. This discussion is a high-level conversation to understand more about your background and interests and for us to share more about Coterie and the position.
Phase 2: Selected candidates will then meet our Hiring Manager for the 2nd interview via Teams video. This interview is designed to be more detail oriented and allows you to learn more about the role
Phase 3: Top candidates will receive an invite for our final interview series via Teams video. This series will include an experiential exercise project (provided in advance), 1:1 interviews with selected team members and a culture focused interview. The final series is roughly 1.5-3 hours in total but can be scheduled over a few days for flexibility.
What's in it for you?
Coterie has excellent benefits for all full-time employees. We offer the following:
100% remote.
Health insurance through Aetna (we pay 100% of premiums).
Dental and vision insurance through Guardian (we pay 100% of premiums).
Basic life insurance (we pay 100% of premiums).
Access to flexible spending account (FSA) or health savings account (HSA) (for those using HSA eligible plans).
401K plan (up 4% match with immediate vest).
Unlimited PTO and company paid holidays. We expect you to take at least 80 hours during the year not including paid holidays: New Year’s Eve, New Year’s Day, Independence Day, Memorial Day, Juneteenth, Labor Day, Thanksgiving Day, Black Friday, Christmas Eve, Christmas Day. We also encourage the celebration of personal holidays and important family events.
Continuing education stipend.
A culture with a deep belief in intentionality, inclusion, and treating you like the professional you are.
Formalized, universal mentorship via Coterie Core-Coaching program.
The salary range for this position is estimated between 40,000-50,000 (paid hourly) based on national data. Candidates who meet all the minimum requirements and possess additional relevant experience, as outlined in the job description, may be considered for a salary above the midpoint of the specified salary range. Salary is based on internal equity; internal salary ranges; market data/ranges; applicant’s skills; prior relevant experience; degrees or certifications, etc."
SOCIAL MEDIA MARKETING ASSOCIATE,Cella,Remote,$25 - $35 por hora,Contract,"Location: Remote
Job Type: Contract
Compensation Range: $25 - 35 per hour
Our client, a leading sports entertainment and gaming company, is looking for a talented Social Media Marketing Associate to join their team!

As a Social Media Marketing Associate, you will be a vital member of their team, driving the strategic marketing efforts of the brand through various social media platforms. This role requires a deep understanding of social media dynamics, exceptional communication skills, and a genuine enthusiasm for leveraging digital platforms to achieve marketing goals.

Responsibilities:
Develop and execute comprehensive social media strategies aligned with marketing objectives.
Create compelling and shareable content tailored to different social media platforms.
Actively monitor and manage brand-related discussions, comments, and messages across social media channels.
Engage with users through thoughtful and timely responses, offering assistance, information, and resolving issues as needed.
Develop and nurture relationships with key community members, influencers, and advocates.
Identify and engage potential brand ambassadors, transforming enthusiastic community members into advocates.
Qualifications:
Experience level: Experienced
Minimum 2 years of experience
Proven track record in managing and engaging online communities, preferably in a professional marketing capacity.
In-depth knowledge of major social media platforms (Facebook, Twitter, Instagram, LinkedIn, etc.) and their best practices.
Strong analytical skills to measure and interpret the success of social media campaigns.
Creative mindset with the ability to generate innovative ideas for social media content and campaigns.
Excellent written and verbal communication skills to effectively convey brand messaging across digital platforms.

JOBID: 1044066
#LI-CELLA
#LI-RK1
#LI-REMOTE
#PL

Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.

At Cella, a randstad digital company, we welcome people of all abilities and want to ensure that our hiring and interview process meets the needs of all applicants. If you require a reasonable accommodation to make your application or interview experience a great one, please contact HRsupport@randstadusa.com.

Pay offered to a successful candidate will be based on several factors including the candidate's education, work experience, work location, specific job duties, certifications, etc. In addition, Cella by randstad digital offers a comprehensive benefits package, including health, an incentive and recognition program, and 401K contribution (all benefits are based on eligibility).

Applications accepted on ongoing basis until filled."
Ecommerce Marketing Specialist (REMOTE),Golden Hippo,Remote,"$67,000 - $89,400 por año",not specified,"Where A-Players Thrive.
We’re an employee-owned, vertically-integrated builder of some of America’s most popular health & wellness brands. With over 1,200 team members dedicated to improving the lives of people and their pets, we create best-in-class products that bring health and happiness. Our creative content educates the world on making smarter health choices, while the brands we own generate over $1 billion of revenue annually.
We’re Looking For An: Ecommerce Marketing Specialist that is responsible for elevating the brand presence across digital platforms and implementing effective online marketing strategies to boost conversions. Collaborate with cross-functional teams to align marketing efforts with overall business objectives. Utilize data analytics and market research to identify opportunities for website optimization and improved user engagement. Plan and execute targeted online marketing campaigns across various channels, including social media, email, and paid advertising.
Location: Remote (Woodland Hills, CA)
What You’ll Be Doing:
Develop and implement digital & ecommerce marketing strategies to increase brand awareness and drive traffic to our branded website
Collaborate with cross-functional teams to develop campaigns that are aligned with brand goals and growth opportunities.
Manage and optimize branded website to enhance user experience, increase sales, and maximize conversion rates.
Conduct thorough analysis of website performance metrics and user behavior to identify opportunities for improvement and optimization.
Implement A/B testing and other conversion rate optimization techniques to enhance website performance and drive revenue growth.
Understanding ability to make recommendations/manage online marketing tactics including SEO & SEM.
Implement necessary changes to improve site performance.
Monitor industry trends and competitor activities to identify new opportunities and stay ahead of the curve in digital marketing and ecommerce.
Collaborate with creative teams to develop engaging content, including product descriptions, imagery, and multimedia assets, for online platforms.
Utilize data analytics tools to track and measure the effectiveness of marketing campaigns and initiatives and provide actionable insights for continuous improvement.
Stay up-to-date with emerging technologies and best practices in digital marketing, ecommerce, and website merchandising, and propose innovative strategies to drive results.
Preferred Qualifications (Note: These are preferred and not required. We strongly encourage you to apply even if you don’t tick ALL of these boxes.):
Comfortable using insights/analytics to measure campaign effectiveness.
Ability to collaborate effectively with cross-functional teams.
Strong project management skills.
Knowledge of conversion rate optimization principles.
Familiarity with online marketing channels.
Adaptability to evolving marketing strategies and environments.
Ability to drive brand strategy execution to achieve business goals.
Bachelor's degree required.
Bachelor's degree in Marketing, Business, or a related field preferred.
2 years of experience in digital marketing and ecommerce background.
Golden Perks & Benefits:
Health and Happiness: Enjoy 100% employer-paid medical, dental, and vision insurance. Get 75% premium coverage for dependents.
Become an Owner: Join our Employee Stock Ownership Plan and be a part owner of Golden Hippo.
Boost Your Savings: Maximize your retirement with a generous 401K Plan and company matching up to 3.5%.
Stand Out, Get Rewarded: Excel and be recognized through our KPI Bonus, Win of the Week, Spot Bonus, and Shoutouts Program.
Flexibility at Your Fingertips: Work on your terms with flexible arrangements for most positions.
Skyrocket Your Career: Unleash your potential with unlimited room for professional growth.
Thrilling Events Await: Exciting virtual and in-person events that redefine fun.
The anticipated salary range for this position is $67,000-$89,400, plus annual & monthly KPI bonus potential.
Salary is based on a wide range of factors that include relevant experience, knowledge, skills, other job-related qualifications, and geographical location.
#LI-Remote
*The safety of our candidates is our highest priority. When looking for a job, please be aware of cyber criminals, fake domains, and fraudulent job offers. Golden Hippo recruiters will only contact applicants from our official company e-mail domain, (NAME@GOLDENHIPPO.COM) or through our internal Applicant Tracking System, Greenhouse. In addition, Golden Hippo recruiters will never send you checks, or ask you to disclose personal financial details. If you receive any suspicious communications regarding an open position or a job offer, please contact Golden Hippo directly at safety@goldenhippo.com to verify its validity.*
Click here to learn more about general internet safety and our hiring practices.
Click here to view our Privacy Notice to Job Applicants."
Marketing Analyst (Remote),Yelp,Remote,"$66,000 - $112,000 por año",Full-time,"Summary
Yelp’s purpose is simple: to connect people with great local businesses. Whether you’re looking for a great pizza spot, or the best mechanic in your neighborhood, we know just the place.

Yelp is seeking a Marketing Analyst to help drive marketing decisions that support continued revenue growth. In this role, you’ll be joining the growing digital marketing team at Yelp, a cross-channel team that drives consumer and business growth through multiple marketing channels, including email, paid advertising, web marketing, brand, social, SEO, ASO, and more. Your day-to-day responsibilities will range anywhere from partnering with stakeholders on test design to testing & analyzing the efficacy of new campaigns. Expect to collaborate with stakeholders including senior leaders, across a variety of channels in order to provide a data-driven lens on marketing decisions. Data is at the core of everything we do and this role plays a critical role in equipping the team to scale strategic decision-making across the marketing org.

We’d love to have you apply, even if you don’t feel you meet every single requirement in this posting. At Yelp, we’re looking for great people, not just those who simply check off all the boxes. This is a full-time remote role based in the United States.

What you'll do:
Partner with stakeholders to understand core needs and leverage your experience to develop scalable solutions that anticipate future needs and ease of use.
Become a subject matter expert on Yelp’s marketing metrics and relevant data sources.
Identify actionable, analytically-driven insights to improve business performance.
Build and maintain reporting for marketing KPIs, and set goals for various initiatives.
Leverage analytical tools (Tableau, SQL, etc.) to support analytical and reporting functions.
Identify opportunities to improve or add to existing views of data, resulting in better resources for extracting learnings.
Exercise sound business judgment and influence the direction of Yelp’s business by effectively working with and communicating results to cross-functional groups.

What it takes to succeed:
1+ years of relevant business experience solving analytical problems and deriving insights using quantitative approaches.
Experience at a consulting firm, investment bank, or private equity fund, or analytical role at a fast-paced B2C or marketplace tech company.
Business acumen, and an enthusiasm for marketing strategy, customer segmentation, and user growth.
Superior hands-on analytic skills, including SQL, advanced Excel modeling and Tableau dashboard building.
Experience building reports in Tableau, or similar Visualization tools.
Understanding of stat stig and experience with A/B testing and experimentation for web or software.
Exceptional problem solver with the ability to transition between detailed data and high-level insights to drive decisions.
Strong collaboration with colleagues and stakeholders.
Bachelor’s degree preferred.

What you'll get:
Effective your first day: Full medical, vision, and dental
15 days PTO (accrual begins on date of hire and increases with 2+ years of tenure thereafter), 12 paid holidays, plus one floating holiday
Up to 14 weeks of parental leave
Monthly wellness subsidy
Work from home reimbursement
Flexible spending account
401(k) retirement savings plan
Employee stock purchase plan
Compensation range for this position is $66,000 - $112,000 annually. You may also be offered a bonus and benefits.

Closing
At Yelp, we believe that diversity is an expression of all the unique characteristics that make us human: race, age, sexual orientation, gender identity, religion, disability, and education — and those are just a few. We recognize that diverse backgrounds and perspectives strengthen our teams and our product. The foundation of our diversity efforts are closely tied to our core values, which include “Playing Well With Others” and “Authenticity.”
We’re proud to be an equal opportunity employer and consider qualified applicants without regard to race, color, religion, sex, national origin, ancestry, age, genetic information, sexual orientation, gender identity, marital or family status, veteran status, medical condition or disability.
Actual salary offered may vary based on multiple factors, including but not limited to, an individual's location and experience.
We will consider for employment qualified candidates with arrest and conviction records, consistent with applicable law (including, for example, the San Francisco Fair Chance Ordinance for roles based in San Francisco).
We are committed to providing reasonable accommodations for individuals with disabilities in our job application process. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-recruiting@yelp.com or 415-969-8488.
Note: Yelp does not accept agency resumes. Please do not forward resumes to any recruiting alias or employee. Yelp is not responsible for any fees related to unsolicited resumes.
US Recruiting and Applicant Privacy Notice
#LI-Remote"
