title,company_name,location,pay,job_type,description
In-House Clinical Research Specialist,Edwards Lifesciences,"1 Edwards Way, Irvine, CA 92614","$83,000 - $117,000 por año",Full-time,"Imagine how your ideas and expertise can change a patient’s life. We generate extensive clinical evidence to demonstrate the effectiveness and safety of our innovations and how our products transform patients’ lives. As part of our Clinical Affairs team, you’ll hone your scientific curiosity and passion for evaluating data to increase access to pioneering technologies for patients in need. In close partnership with principal investigators, dedicated medical professionals, patient advocacy groups, and regulatory authorities, you will drive the evidence needed to optimize patient outcomes.

Patients with mitral and tricuspid heart valve disease often have complex conditions with limited treatment options. Our Transcatheter Mitral and Tricuspid Therapies (TMTT) business unit is boldly pursuing an innovative portfolio of technologies to address a patient’s unmet clinical needs. It’s our driving force to help patients live longer and healthier lives. Join us and be part of our inspiring journey.

As the Clinical Research Specialist, you will ensure clinical trials are conducted and reported in accordance with all applicable regulatory requirements.

This is a hybrid role (office and remote blend). Selected candidate must reside within a reasonable distance from the Irvine Corporate location and have ability to commute on required onsite days. Relocation not offered.

You will make an impact by...
Performing study start-up and conduct activities including ICF review that meets regulatory requirements, creating study specific essential document lists, managing and communicating the status of study progress and activities
Identifying and investigate discrepancies in study documentation by applying clinical protocol and GCP knowledge and develop processes to mitigate reoccurrence throughout study phases
Conducting in-house and site (if applicable) reviews of associated documentation and participating in internal and competent authority (e.g., FDA, DEKRA, PMDA) audits to ensure all essential clinical Trial Master File (TMF) documents are compliant with Good Documentation Practices, Edwards internal SOPs, and US and OUS regulations
Assessing current processes, identify opportunities and propose solutions to improve process efficiency within and across related functional areas
Partnering with cross-functional team (e.g., clinical data management, field teams) with query management, data reviews and resolution
Other incidental duties

What you'll need (Required):
Bachelor's Degree or Equivalent in Life Sciences or Nursing
3 year's experience in clinical research (site management, clinical project management, monitoring, and/or CRC) including quality assurance/control and regulatory compliance or field monitoring with experience in the healthcare industry

What else we look for (Preferred):
Experience in electronic data capture
Covid Vaccination
Ability to travel nationwide up to 10% for site visits, and conferences
Good computer skills in usage of MS Office Suite and Clinical Systems such as CTMS (Clinical Trial Management System), eTMF (electronic Trial Master file) preferred
Strong written and verbal communication skills, presentation skills, interpersonal relationship skills, and analytical skills are required
Strong problem-solving and critical thinking skills
Strong understanding of cardiovascular anatomy, pathology and physiology or Business Unit area of expertise
Moderate understanding of regulatory submissions, reporting, and audits
Ability to manage confidential information with discretion
Ability to manage competing priorities in a fast paced environment
Must be able to work in a team environment, including inter-departmental teams and representing the organization on specific projects
Ability to build productive internal/external working relationships

Aligning our overall business objectives with performance, we offer competitive salaries, performance-based incentives, and a wide variety of benefits programs to address the diverse individual needs of our employees and their families.

For California, the base pay range for this position is $83,000 to $117,000(highly experienced).

The pay for the successful candidate will depend on various factors (e.g., qualifications, education, prior experience). Applications will be accepted while this position is posted on our Careers website."
"Research Associate, UCLA Development (REMOTE or HYBRID)",UCLA,"Los Angeles, CA","$5,958 - $12,908 por mes",not specified,"As a Research Associate within our Prospect Research team, you will bring your strong research, analytical and strategic skills to serve as a valuable resource to the fundraising staff at UCLA. As the largest department within UCLA's External Affairs division, UCLA Development raises funds to advance the university's mission by creating enduring relationships with individual, corporations and foundations to generate support for student and faculty programs and initiatives. Efficient and collaborative prospect research, reporting and analysis ensure the proper portfolio composition necessary for our fundraising efforts. As our Research Associate, you will be integral member of our development research team that is committed to the highest level of standards for our prospect and donor information. This is a remarkable opportunity to be a part of our acclaimed fundraising team and provide a high level of analysis and direction for our prospect engagement activities.

As a Research Associate, you will conduct specialized, high quality prospect research and analysis using a variety of strategies and sources (such as publications, online databases, community resources, existing files and records) to provide accurate, timely, and strategic data and information to fundraising staff. Your overall responsibilities will include validating prospects from development analytics, ranking prospects for program units, providing comprehensive and strategic research to include prospect cultivation and solicitation strategies, consulting in the creation of a prospect pool and producing comprehensive prospect briefings as requested by deans and top administrators including the chancellor. You will generate analyses of prospect capacity, create full prospect profiles and deliver current news alerts and industry expertise to support the fundraising needs and priorities of unit fundraisers. We encourage you to join our Prospect Research team where you will receive the guidance, inspiration and resources to excel as part of the many professional growth opportunities we offer staff at UCLA.

**UCLA External Affairs is unable to offer visa sponsorship.**

Percentage of Time:
100

Shift Start:
8:00 am

Shift End:
5:00 pm

Qualifications for Position

15
Records

Qualifications

Required/Preferred

1. Prior experience and strong demonstrated abilities in research industry/sector performance indicators, including finance, real estate, health care, technology, media, arts and entertainment

Required

2. Ability to interpret individual's wealth indicators, including stock holdings and real estate holdings and ability to apply knowledge of demographic information to the wealth indicators

Required

3. Resourceful, analytical and strategic with strong knowledge of fundraising terminology and resources, ability to gather, analyze and organize information, identify philanthropic patterns, tendencies, and relationships and determine propensity to give.

Required

4. Advanced knowledge of research methodology and ethical standards and the ability to apply statistical findings to data resources in order to identify trends, relationships and UCLA affinity.

Required

5. Ability to verify giving capacity of the overall prospect pool for a fundraiser and for a unit.

Required

6. Strong knowledge of and/or ability to understand the donor cultivation process, as well as the ability to identify donor engagement opportunities.

Required

7. Demonstrated experience in and/or ability to validate results from statistical methods and tools. Ability to proactively request analytics model to further enhance giving opportunities.

Required

8. Excellent written and verbal communication skills to interact with and prepare research profiles and briefings for campus leadership, including the Chancellor.

Required

9. Excellent presentation skills for participation in strategic planning and prospect qualification meetings.

Required

10. Advanced skill in understanding financial activity and ability to summarize relevant information from websites, annual reports and other information sources.

Required

11. Able to deal with confidential matters with tact and sensitivity.

Required

12. Highly detail oriented with demonstrated ability to work independently and as a team member; set priorities and complete projects within specified timeframes under minimal supervision.

Required

13. Proficiency in Microsoft suite of applications to include Word, Excel, Outlook, PowerPoint, etc.; able to learn new databases and technologies in a prompt and efficient manner

Required

14. Ability to work evenings and weekends as needed.

Required

15. Bachelor's degree is preferred.

Preferred

Additional Posting Information

Bargaining Unit:
99-Policy Covered

Application Deadline:
03-25-2024

External Posting Date:"
Research Assistant,Kaiser Family Foundation,"Washington, DC 20005","$67,600 - $75,600 por año",Full-time,"Position Summary:

KFF is the independent source of health policy research, polling, and news. Our mission is to fill the need for trusted information on national health issues all with a focus on how health policy affects people. KFF is a nonprofit and nonpartisan organization.
KFF is seeking a Research Assistant to manage the SHF resource and to play a key role in the collection, analysis, and publication of state-level data and information on health and health policy topics across KFF’s program areas, and particularly for the Program on Medicaid and the Uninsured.

Principal Duties and Responsibilities:

Maintain the SHF resource and related online tools to ensure all data are accurate, up-to-date, organized, and easily accessible to users;
Coordinate with KFF’s Web team and contractors to maintain and improve site functionality and available features related to SHF;
In coordination with other KFF staff, develop new online tools for displaying state-level information and data;
Respond to requests for information from the media, policymakers, and the general public related to SHF data;
Serve as a liaison between SHF and KFF Communications to promote new and updated content, including through social media;
Assist with ongoing tracking of state policies and data related to Medicaid and other health policy issues and assist with analyses of surveys and data for related projects; and
Provide research assistance, including background policy research and compilation and documentation of existing data from public sources, to support the analytic work of KFF program staff, as needed.

Minimum Desired Skills and Experience:

Bachelor’s degree in statistics, public health, data sciences or a related discipline;
Strong quantitative skills and research experience and familiarity with health policy data sources;
Proficiency with Microsoft Office, including Excel and Google Workspace; experience with R/Python, particularly data cleaning and manipulation, and WordPress, preferred;
Highly detail oriented and excellent time management skills;
Ability to work independently and efficiently on concurrent projects with multiple deadlines;
Strong written and oral communication skills;
Ability to develop and maintain strong working relationships with internal staff and external partners; and
Familiarity with, or interest in, Medicaid and/or state and national health policy.
Authorization to work in the U.S.

This full-time position will be based in KFF’s Washington, DC office, located downtown near Metro Center. KFF is currently working a hybrid schedule and requires all staff to work in the office a minimum of 2 days a week.

Compensation
Salary is competitive and commensurate with experience and qualifications and includes an excellent benefits package.
The annual salary range for the Research Assistant position is between $67,600 - $75,600. Offers are based on the candidate's years of experience and KFF’s practice of upholding salary equity within the organization.

How to Apply:
If this opportunity interests you, and you have the requisite experience and qualifications, please apply.

KFF has an efficient applicant review process and will contact candidates who have applied for this position and whose qualifications most closely fit the criteria for the job. No phone inquiries please.

KFF requires all employees to be up-to-date on their COVID-19 vaccinations.

It is the policy of KFF to actively promote a diverse and inclusive workplace in every respect, and to provide equal employment opportunities to all qualified applicants and employees in every phase of employment without regard to race, color, religion, national origin, gender, gender-identity, gender expression, sexual orientation, age, marital status, disability, veteran status, political affiliation, arrest or conviction records, or other categories protected under the law."
RESEARCH FELLOW,University of Michigan,"503 Thompson Street, Ann Arbor, MI 48109","$54,850 - $62,000 por año",Full-time,"How to Apply
A cover letter is required for consideration for this position and should be attached as the first page of your resume. The cover letter should address your specific interest in the position and outline skills and experience that directly relate to this position.
Summary
We are seeking a Post Doctoral Research Fellow for the Department of Naval Architecture & Marine Engineering, College of Engineering. The duties and expectations of this position include carrying out research, participation in preparation of technical reports and papers related to research, and collaboration with other members of the faculty research group engaged in related research. May also participate in instructional activities, in mentoring and supervising undergraduate and graduate students engaged in research activities.
Required Qualifications*
The successful applicant will have a doctoral degree in naval architecture and marine engineering or in a related area. The candidate will have a demonstrated record of individual initiative and originality in research, strong quantitative and analytical skills, and the potential to become an independent academic researcher within two to three years.
Additional Information
Michigan Engineers are world-class educators, researchers, students and staff who strive to build a people-first future. As part of the nation’s number one public research institution, Michigan Engineering's mission is to provide scientific and technological leadership to the people of the world, develop intellectually curious and socially conscious minds, create collaborative solutions to societal problems, and promote an inclusive and innovative community of service for the common good.
Our vision, mission and values are supported by a people-first engineering framework that guides our work. As Michigan Engineers, we strive to apply excellent engineering fundamentals, integrated expertise and equity-centered values to reimagine what engineering can be, close critical gaps, and elevate all people. Information about our vision, mission and values can be found at: http://strategicvision.engin.umich.edu/.
The University of Michigan has a storied legacy of commitment to Diversity, Equity and Inclusion (DEI). Michigan Engineering models that commitment in our research, culture and collaborations. We seek to recruit and retain a diverse workforce as a reflection of that commitment. Learn more about DEI at Michigan Engineering: https://www.engin.umich.edu/culture/diversity-equity-inclusion/.
Application Deadline
Job openings are posted for a minimum of seven calendar days. The review and selection process may begin as early as the eighth day after posting. This opening may be removed from posting boards and filled anytime after the minimum posting period has ended.
U-M EEO/AA Statement
The University of Michigan is an equal opportunity/affirmative action employer.

Job Opening ID
227529
Working Title
RESEARCH FELLOW
Job Title
RESEARCH FELLOW
Work Location
Ann Arbor Campus
Ann Arbor, MI
Full/Part Time
Full-Time
Regular/Temporary
Regular
FLSA Status
Exempt
Organizational Group
College Engineering
Department
Naval Arch & Marine Dept
Posting Begin/End Date
1/10/2023 -
Salary
$54,850.00 - $62,000.00
Career Interest
Research Fellows"
Hourly Research Assistant,University of Maryland,"College Park, MD 20742",$29.02 por hora,Part-time,"Posting Details
Posting Details
Position Number:

Title:
Hourly Research Assistant

Functional Title:
Hourly Research Assistant

Category Status:
16-Student Hourly, Grad

Applicant Search Category:
Graduate Assistant

University Authorized FTE:
100

Unit:
ARCH-Center for Smart Growth Research & Education

Hiring Range Minimum:
$29.02

Hiring Range Maximum:
$34.41

Campus/College Information:
Founded in 1856, University of Maryland, College Park is the state’s flagship institution. Our 1,250-acre College Park campus is just minutes away from Washington, D.C., and the nexus of the nation’s legislative, executive, and judicial centers of power. This unique proximity to business and technology leaders, federal departments and agencies, and a myriad of research entities, embassies, think tanks, cultural centers, and non-profit organizations is simply unparalleled. Synergistic opportunities for our faculty and students abound and are virtually limitless in the nation’s capital and surrounding areas. The University is committed to attracting and retaining outstanding and diverse faculty and staff that will enhance our stature of preeminence in our three missions of teaching, scholarship, and full engagement in our community, the state of Maryland, and in the world.

Background Checks
Offers of employment are contingent on completion of a background check. Information reported by the background check will not automatically disqualify you from employment.

Vaccine Protocol

Position Summary/Purpose of Position:
This student will primarily assist Dr. Nicholas Finio in conducting quantitative research on gentrification and displacement in the field of urban studies. Skills and a demonstrated track record of experience in manipulating large datasets using R or python are required. Skills manipulating geospatial datasets are a plus but not required. Knowledge of the subject of gentrification is not required but an understanding of broad social science research methods and econometrics is required. Students from sociology, geography, economics, public policy, urban and regional planning, and other related fields are encouraged to apply. Hourly pay rates range from $29.02 per hour to $34.41 per hour depending on experience. This position will pay for up to 10 hours per week for the fall semester, with potential for a second semester in the spring. Please send a cover note (email is fine) and CV to nfinio@umd.edu.

Minimum Qualifications:
Education:
Ph.D

Preferences:

Additional Certifications:

Additional Information:

Posting Date:
09/08/2023

Closing Date:

Open Until Filled
Yes

Best Consideration Date
09/22/2023

Physical Demands

Diversity Statement:
The University of Maryland, College Park, an equal opportunity/affirmative action employer, complies with all applicable federal and state laws and regulations regarding nondiscrimination and affirmative action; all qualified applicants will receive consideration for employment. The University is committed to a policy of equal opportunity for all persons and does not discriminate on the basis of race, color, religion, sex, national origin, physical or mental disability, protected veteran status, age, gender identity or expression, sexual orientation, creed, marital status, political affiliation, personal appearance, or on the basis of rights secured by the First Amendment, in all aspects of employment, educational programs and activities, and admissions.
Women, minorities, LGBTQ+, veterans, and people with disabilities are encouraged to apply."
Clinical Research Associate,Caldera Medical,"Agoura Hills, CA 91301","$85,000 por año",Full-time,"Clinical Research Associate
Remote Position
Caldera Medical’s Mission - To Improve the Quality of Life for Women!
Caldera Medical is a growth stage medical device company dedicated to improving the quality of life for women. In 2018, Caldera was ranked one of Inc 5000’s fastest growing private companies in the United States and was ranked #38 fastest growing private company and #3 fastest growing Healthcare Company in Los Angeles by the LA Business Journal. We develop, build and market best in class surgical products for the treatment of Stress Urinary Incontinence, Pelvic Organ Prolapse, and Polyps.
Key Responsibilities
Responsible for primary liaison with the study side
Supports activities within various phases of a clinical study (i.e. study planning, site qualification and investigator selection, monitoring, closeout, etc.)
Managing ongoing site activities such as data reporting consistent with the study timeline
CRF completion, subject enrollment, and treatment efforts
Work with cross functional teams, including clinical research associates, regulatory, quality and external partners to ensure the successful conduct of clinical studies in compliance with relevant regulatory guidelines.
This position will travel more than 50%
Qualifications:
Bachelor’s degree in Life Sciences, healthcare or related field
5 years CRA experience in trial management from start to finish,
Competency in FDA/ISO/ICH/GCP regulations/compliance
Strong project management skills, data management skills
Ability to work with cross functional teams
Proficiency in using clinical trial software and tools
Detail oriented, with a focus on data accuracy and compliance
Ideally has experience in women’s healthcare.
Compensation and Benefits:
Competitive Compensation: $85,000
Medical / Dental Benefits – 75% paid for employee and family members
Vision coverage
401(k) with 4% matching contributions
Basic Life and AD&D
Unlimited Vacation
6 Weeks Paid Maternity Leave
10 paid holidays - including your birthday!
Being surrounded by talented and engaged employees
Caldera Medical is an equal opportunity employer and considers all candidates for employment regardless of race, color, religion, sex, national origin, citizenship, age, disability, marital status, military or veteran's status (including protected veterans, as may be required by federal law), sexual orientation, gender identity or any other category protected by law

This is a remote position."
Research Associate,Morning Consult,"729 15th St NW Ste 200, Washington, DC 20005","$52,400 - $79,600 por año",Full-time,"About Morning Consult:
Morning Consult is a global decision intelligence company changing how modern leaders make smarter, faster, better decisions. The company pairs its proprietary high-frequency data with applied artificial intelligence to better inform decisions on what people think and how they will act.

Ideally this position would be based in Washington, DC, however we are open to our other office locations (New York, NY or Chicago, IL).

The Role:
Morning Consult is looking to hire an entrepreneurial strategic communications professional to join our Research Solutions team. Those in this role must understand survey research, advocacy, and messaging strategy and have experience bringing people together internally to make projects come to life.

In this role, you will jump at the chance to come up with creative and impactful projects that help our clients make the most of our data-focused technology products. You will also work closely with leadership to expand our current client offerings and ensure all client needs are exceeded.

The Research Solutions Team at Morning Consult:
The Research Solutions Team at Morning Consult is a crucial part of building an industry-leading, customer-obsessed Commercial Organization to drive sustainable growth across our entire portfolio of business. Our aim is to deliver high-impact, quality intelligence at scale to decision makers anytime, anywhere. Our team consists of researchers who come with experience in market research, insights, political polling, strategic consulting, and more.
What You’ll Be Working On:
Providing support during research projects, learning more about the research process and project management fundamentals
Working closely with managers to create frameworks for questionnaires and analysis, ensuring clients will get the most out of their research
Drafting research materials (questionnaires, memos, slide decks) for others to review, effectively checking numbers, grammar and general content accuracy
Supporting quality assurance, generating highly-accurate client deliverables alongside our Analytics & Data Operations (ADO) team
Joining client calls, leveraging client interactions as observational learning opportunities to inform and improve future outputs
Building stable working relationships with members of the Research Solutions team, ADO team and with client points of contact
Joining sales calls to listen and cultivate their knowledge of the Morning Consult business
Collaborating with teammates to both learn from others and to share learnings
Understanding Morning Consult tools and products and navigating these products independently
About You and What You’ve Done:
Recent graduate with a Bachelor's degree in Psychology, Political Science, Economics, Statistics, Marketing or similar; or the equivalent combination of education and relevant experience
Experience working with and interpreting data sets
Curious about the ""why,"" and draws on curiosity when interpreting new information
Maintains composure in difficult situations, remaining constructive, logical, and determined to succeed even in the face of setbacks
High attention to detail, willing to get in the weeds to ensure accuracy
People-oriented with the ability to interpret expectations and exceed them
Demonstrated ability to build relationships with colleagues and client points of contact
Approaches work through the scientific method, open to new approaches to improve outcomes, adapting workflows, and integrating new techniques
Communicates concisely and punctually to clear collaboration hurdles
Actively seeks feedback and assumes positive intent when receiving it, incorporates feedback into future iterations of work and performance
Note: We view the above section as a guide, not a checklist. Research shows that underrepresented/marginalized groups are less likely to apply for a job if they feel that they don’t meet 100% of the qualifications. We welcome diverse and non-traditional backgrounds and encourage you to apply even if you don’t satisfy every single bullet on this list! It’s expected that you’ll learn and grow throughout your time at Morning Consult, so if you’re open to building new skills, we’d love to hear from you.

The expected salary range for this position is $52,400 - $79,600, with a midpoint of $66,000.

In most cases, we target the midpoint of our salary ranges for new hire compensation. This placement is reflective of full proficiency in a role. This role is eligible for additional variable compensation and an equity grant, which will be discussed in your initial recruiter conversation. Please see an overview of Morning Consult’s benefits on our Career Page.

We are committed to a work environment that is inclusive to all and free of discrimination. It is our policy to be an equal opportunity employer without regard to race, color, religion, sex, age, national origin, disability, sexual orientation, gender identity or expression, genetic predisposition or carrier status, veteran status, citizenship status or any other factors prohibited by law. Morning Consult will provide reasonable accommodations for qualified individuals.

MORNING CONSULT PRIVACY POLICY"
Equity Research Associate - Biotechnology,Piper Sandler,"New York, NY","$85,000 - $150,000 por año",Full-time,"At Piper Sandler, we connect capital with opportunity to build a better future.
We believe diverse teams with unique backgrounds, skills and experiences yield more innovative solutions. Our mission is to recruit, develop, retain and engage a diverse, high-performing team. Our business enables bright, committed people working in partnership within an environment that allows each person to achieve at a high level. We commit to encouraging and valuing inclusivity because every partner brings unique perspectives that help us better serve our clients.
We are currently looking for Equity Research Associate to join our Biotechnology team in New York, NY or Chicago, IL.
Responsibilities:
· Work in partnership with the senior analyst to conduct extensive company and industry research
· Create and maintain financial models and valuation analyses
· Write company reports, industry reports and investment recommendations
· Meet with company management teams and interview company customers, suppliers and competitors
· Make company visits and attend trade shows and industry conferences
· Contingent upon developing industry expertise and familiarity with the coverage universe, additional responsibilities include marketing investment ideas and investment research to our institutional sales force and institutional investors
Requirements:
· The associate position is a demanding and fast-paced job that requires the ability to think quickly on one's feet and work independently
· Strong candidates will have an intense interest in the stock market and a demonstrated record of professional, academic and personal achievement
· Outstanding interpersonal and written communication skills
· A strong competitive spirit balanced by a proven ability to work as part of a team
· Strong background in the biological sciences with either a Masters’ degree, MD or PhD preferred; fluent understanding of financial accounting preferred but not required
· Strong financial modeling experience required
· Securities Industry Essentials, Series 86 and 87 required (or willingness to obtain)
As a leading investment bank, we enable growth and success for our clients through deep sector expertise, candid advice and a differentiated, highly productive culture.
In equities, our sales & trading teams facilitate public offerings in our core sectors and dedicate significant levels of firm capital to ensure the highest aftermarket support. We are a market maker and/or transact in 2,500 securities, offering traditional, algorithmic and program trading approaches. Our 50+ senior analysts produce industry-leading, deep-sector research on more than 1,000 stocks under coverage, including the largest small/mid cap coverage on the Street. We empower our investors with focused, best-in-class macro research. Our Institutional Investor top-ranked analysts utilize independent processes that provide impartial insights into economic trends, energy, portfolio strategy, technical analysis, policy actions and political developments.
Piper Sandler values a strong culture dedicated to the emotional and physical well-being of our employees.
All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, gender identity, national origin, disability, age, marital status, status as a protected veteran or status with regard to public assistance.
The anticipated starting salary range for New York City-based individuals expressing interest in this position is $85k-150k per year. Placement within this range is dependent upon level of experience. This position is eligible for annual incentive compensation which will be a part of the total compensation. Total compensation for this position will be competitive with the market.
*LI-KM1"
Staff Research Associate,UCLA,"Los Angeles, CA","$4,875 - $7,843 por mes",not specified,"Located at the UCLA California NanoSystems Institute (CNSI), the Molecular Screening Shared Resource (MSSR) combines the intellectual prowess of the top-ranked U.S. public university with the industrial infrastructure, rigor and nimbleness of pharmaceutical research operations. With 120 publications over the last 20 years leading to multiple compounds in clinical trials, the MSSR has a superb track record of drug discovery in academia. The broad impact of our work has led to clinical candidates in disease indications including cancer as well as neurological and infectious diseases. The first compound stemming from research at the MSSR (TRE-515) is now in clinical trial Phase I and we have many more projects in the pipeline. Our approach takes full advantage of our ability to integrate robotics, small molecule libraries, the latest developments in genome engineering and functional genomics to find new cures and solve humanity's most pressing challenges. The MSSR's industry grade resources include over 300,000 compounds and arrayed genome-wide functional genomics libraries that cover all modalities (CRISPR, shRNA, cDNA and siRNA).

Under the supervision of the MSSR Director, the Staff Research Associate plays a role in generating novel cell line models for our research using functional genomics tools. Additional responsibilities include working on assays and high throughput screening campaigns, supporting the academic community through mentoring of graduate students and postdocs, improving workflows and efficiencies and providing hands-on technical expertise/scientific guidance as well as mentor members of the academic community.

Percentage of Time:
100

Shift Start:
8:00 am

Shift End:
5:00 pm

Qualifications for Position

26
Records

Qualifications

Required/Preferred

B.S. Degree in Microbiology, Cell Biology, Biochemistry, Molecular Biology or related field and minimum of 3 years of relevant lab experience, preferable industrial experience, or equivalent combination of education and experience.

Required

Early-stage professional experience; training will be provided on state-of-the-art automation and next generation technologies

Preferred

Skilled at FACS, molecular biology, mammalian cell culture and assay development.

Required

Previous experience with both nonviral- and virus-based gene delivery approaches

Required

Proven ability to think outside of the box and be mentally flexible.

Required

Ability to handle multiple projects simultaneously and meet project timelines.

Required

Previous work experience in a cross-functional team.

Preferred

Ability to integrate and collaborate within a high-achieving team environment.

Required

Exceptional verbal communication and scientific writing skills.

Required

Demonstrated knowledge of biological, chemical and radiation safety rules, and ability to keep lab in compliance with the regulations.

Required

Demonstrated skill in operating a binocular phase microscope, personal computer, spectrophotometer, tissue culture equipment, autoclave, and balance.

Required

Ability to train and assess work done by subordinates/other laboratory personnel.

Required

Ability to learn about high throughput machinery and apply knowledge to projects.

Required

Demonstrated skill with tissue culture procedures including cell line generation.

Required

Demonstrated skill in performing chemical and mathematical calculations.

Required

Skill in molecular biology procedures such as DNA preparations, lentiviral packaging and infection of cells with virally packaged constructs.

Preferred

Ability to organize ordering information, lab protocols, lab stock inventories of viruses, cells, and bacterial stocks.

Required

Skill in use of standard computer software and ability to learn necessary other software platforms.

Required

Skill in prioritizing assignments to complete work in a timely manner with deadlines, fluctuating workloads, or last-minute changes.

Required

Ability to establish and maintain cooperative working conditions and relationships with other staff members and students.

Required

Ability to communicate and perform well in deadline situations and maintaining a steady workflow.

Required

Skill in working independently and following through on assignments.

Required

Work well on multiple projects at the same time. (Multitasking)

Required

Ability to work on a flexible schedule, including evenings and weekends.

Required

Ability to maintain an organized laboratory manual.

Required

Demonstrated ability to manage large compound collections, conserve the quality of the collections and monitor and document compound consumption.

Required

Additional Posting Information

Bargaining Unit:
RX-Research Support Professionals

Application Deadline:
03-25-2024

External Posting Date:"
Research Assistant- Health,American Institutes for Research,Remote,$25.50 por hora,Full-time,"Overview:
Join AIR as a Research Assistant with our Health team. Our Health team works collaboratively to unravel the intertwined challenges of health care quality, costs, and access. Our team of experts – nurses, physicians, psychologists, economists, sociologists, data scientists, and public health experts – advance evidence and save lives by leading rigorous research and evaluation; results-driven technical assistance and training; and leading-edge data science and technology tools.

Our team of experts focus on promoting evidence-based care for a range of clinical conditions; engaging patient, family, and communities to identify and address inequities and barriers to health care for groups who have been historically excluded and marginalized; improving patient safety; and establishing measures for evaluating the quality of care. We also translate research evidence to promote understanding and adoption of best practices by patients, families, caregivers, physicians, nurses, insurers, health systems leaders, and policymakers.

Use your experience, knowledge, and education to help us deliver on our mission: to contribute to a better, more equitable world.

Candidates hired for the position may work remotely within the United States (U.S.) or from one of our U.S. office locations. This does not include U.S. territories.

About AIR:

Established in 1946, with headquarters in Arlington, Virginia, AIR is a nonpartisan, not-for-profit institution that conducts behavioral and social science research and delivers technical assistance to solve some of the most urgent challenges in the U.S. and around the world. We advance evidence in the areas of education, health, the workforce, human services, and international development to create a better, more equitable world.

AIR’s commitment to diversity goes beyond legal compliance to its full integration in our strategy, operations, and work environment. At AIR, we define diversity broadly, considering everyone’s unique life and community experiences. We believe that embracing diverse perspectives, abilities/disabilities, racial/ethnic and cultural backgrounds, styles, ages, genders, gender identities and expressions, education backgrounds, and life stories drives innovation and employee engagement. Learn more about AIR's Diversity, Equity, and Inclusion Strategy and hear from our staff by clicking here.
Responsibilities:
The responsibilities for the position include:
Support the collection, analysis, and review of quantitative and qualitative research and evaluation data and contribute to the reporting and interpretation of findings.
Conduct literature reviews to support projects and proposals.
Support technical assistant activities and management of learning networks.
Conduct various project management activities, which can include setting up Zoom and Teams video conference calls, coordinate across multiple calendars to arrange meetings, and manage timelines and budgets.
Support client relationship management, including communicating with clients, write-up client-ready meeting summaries, and making logistical arrangements.
Support collaboration among team members, both internal and external to organization.
Assist in business development activities, including coordinating activities for proposals and grants.
Review work products to ensure quality and consistency of content.
Qualifications:
Education, Knowledge, and Experience:
Bachelor’s degree in health policy, public health, public policy, or other health or social science related field.
Experience with and/or inclination to learn qualitative and quantitative research methods, such as survey design, analysis of program administrative data, focus groups, or interviews.
Experience with and/or inclination to learn and use statistical software programs such as R, SAS, or Stata to analyze data.
Skills:
Attention to detail and commitment to accuracy when writing.
Comfortable working independently as well as part of a team.
Ability to collaborate in a virtual work environment with individuals at all levels and from diverse backgrounds.
Effective time management skills and ability to consistently meet deadlines.
Proficiency with the Microsoft Office Suite or the equivalent (word processing, spreadsheets, email and calendar management, presentation software).
Bilingual in Spanish is a plus but not required.

Disclosures:

Applicants must be currently authorized to work in the U.S. on a full-time basis. Employment-based visa sponsorship (including H-1B sponsorship) is not available for this position. Depending on project work, qualified candidates may need to meet certain residency requirements.

All qualified applicants will receive consideration for employment without discrimination on the basis of age, race, color, religion, sex, gender, gender identity/expression, sexual orientation, national origin, protected veteran status, or disability.

AIR adheres to strict child safeguarding principles. All selected candidates will be expected to adhere to these standards and principles and will therefore undergo reference and background checks.

AIR’s Total Rewards Program, is designed to reward our staff competitively and motivate them to achieve our critical mission. This position offers an anticipated salary of $25.50/hr. Salary offers are made based on internal equity within the institution and external equity with competitive markets. Please note this is the annual salary range for candidates that are based in the United States.

AIR maintains a drug-free work environment.

Fraudulent Job Scams Warning & Disclaimer:

AIR is aware of individuals falsely presenting themselves as AIR representatives. Fraudulent job scams seek to extract sensitive information or money from victims. To protect yourself, please be aware that AIR recruitment will only email you from an “@air.org” domain. Please take extra caution while examining the email address, for example jdoe@air.org is correct and jdoe@aircareers.org is not a legitimate AIR email address. If you are unsure of the legitimacy of a communication you have received, please reach out to recruitment@air.org.

If you see a job scam, or lose money to one, report it to the Federal Trade Commission (FTC) at ReportFraud.ftc.gov. You can also report it to your state attorney general. Find out more about how to avoid scams at ftc.gov/scams.

#LI-Remote #LI-SH1"
