title,company_name,location,pay,job_type,description
Urban Outfitters Sales Associate,Urban Outfitters,"4518 University Way NE, Seattle, WA 98105",$16.20 - $24.30 por hora,Part-time,"A Sales Associate contributes to driving sales through providing service to customers in a real and authentic way. Sales Associates will typically work between 8 and 20 hours a week, including nights and weekends. We offer a creative environment, competitive perks, & a discount up to 60% off!
BRAND EXPERIENCE
Brand Ambassador: acts as a brand representative reflective of the company values
Customer Engagement: initiates conversation, shares advice and product knowledge to interact with the customer in a personalized way
Store Technology: utilizes technology to be well-informed on company priorities and promotions in-store and online; delivers a seamless, omni channel shopping experience through utilization of the tools available to service the customer (i.e. MPOS, POS, In-Store & Curbside Pick Up)
TEAMWORK + COMMUNICATION
Positivity: contributes to the store by being positive, respectful, and helpful to others
Team Player: collaborates with peers and leadership, sharing ideas and jumping in to support the needs of the team
Adaptable: exhibits a willingness to learn and adapt; is flexible to change and open to try new ways of doing things
VISUAL + BUSINESS OPERATIONS
Store Environment: maintains Urban Outfitters’ visual and operational standards while keeping the focus on the customer
Product Flow: supports the shipment process to gain awareness of product including what’s new and what’s already on the floor; contributes to completion of omni order fulfillment processes
Awareness: adheres to store’s safety standards, inventory accuracy, reduction of product loss, and upholds all company policy and procedures to support the profitability of the store

The above information has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to this job."
Remote Sales Representative - Georgia,Institute of Reading Development,Georgia,"$500 - $1,000 por semana",not specified,"The Institute of Reading Development is a nationwide leader in reading skills programs, dedicated to teaching the right reading skills and providing our students with great experiences in great books. Since 1970, we have taught over 3 million students across the United States. Our mission is to inspire a lifelong love of reading in every student.
Remote Program Advisor (Sales Representative) Responsibilities:
Sell high-quality reading programs to families across the country.
Serve as a trusted educational advisor for parents.
Make sales through high-volume inbound customer calls.
Recommend appropriate reading programs based on discovery calls with customers.
Data Input.
Qualifications:
Previous sales experience is recommended but not required.
Ability to gain customer trust while leading the sales call.
Ability to learn the Institute’s sales techniques through initial training.
Program Advisor Benefits:
Earn $500-$1000 per week while working a flexible schedule from home.
You’ll receive a guaranteed hourly minimum and have the potential to far exceed it with competitive commissions and weekly bonuses.
Opportunities for advancement with the Institute for top performers.
Flexible Work Schedule
As a Program Advisor, you’ll take inbound phone calls from parents who are interested in reading skills programs for their children. You’ll talk to 25-30 parents each day, discussing their children’s reading skills, explaining how our programs will help, and supporting them in overcoming obstacles to enrollment.
As a Program Advisor, we ask that you work a minimum of 32 hours per week and at least one weekend day twice a month. We offer flexible work schedules and a variety of shifts.
At the Institute of Reading Development, we believe reading can take you anywhere. We’re continually growing our remote sales team to help students nationwide get there. This is a great work-from-home job opportunity whether you have previous experience as an account executive, sales development representative (SDR), business development representative (BDR), etc.
We look forward to reading your application soon.
Computer Specifications
You will need a computer with the following:
Microsoft Windows 10 Operating System or an Apple computer with OS 10.10 or higher.
4+ GB of RAM installed, and a dual core processor with a speed of 1.8GHZ or better.
A wired USB headset
A WIFI or wired (ethernet) broadband internet connection with a download speed of 10+ mbps and an upload speed of 5+ mbps.
Don't worry if you're not sure about these things - we'll help you figure it out along the way!
NOTE: For call quality assurance, we absolutely cannot support Chromebooks, Windows 7 OS, smartphones, tablets, or any kind of mobile device for the work.
If you encounter an error or need assistance with this application, please send us a message here:
https://app.smartsheet.com/b/form/bd42994d25954964becb2e26a2cd8b87"
Sales Development Representative (SDR),ANC Group Inc,Remote,"$45,000 - $60,000 por año",Part-time,"Because of our terrific growth, ANC Group, an IT company focusing on Managed Services (MSP) and Cybersecurity, is looking for a Sales Development Representative. ANC executes a multi-channel marketing campaign to qualified prospects. This person contacts prospects by phone to initially qualify them and then later engages prospects who have received our marketing materials to set up appointments.
The ideal candidate enjoys a position that includes heavy phone work, is interested in our technology, enjoys helping customers and our team, works independently, and can self-manage completion of their daily, weekly and monthly recurring tasks. We’re looking for someone who understands our culture and is willing to help drive the success of the sales team. This position can be fully virtual and full or part-time for qualified candidates.
Responsibilities: Create well-qualified contacts that will be added to our marketing list and get appointments with prospects for our sales team.
1. Identify and qualify Prospects by phone - Goal is to have leads qualified or disqualified in our CRMs:
a. Using every call to a prospect to get better & more complete data and update records.
b. Internet research to build prospect and company profiles in CRM.
2. Company research to determine qualified prospects:
a. Identifying Decision Makers.
b. Place inbound leads from email, web, phone, trade shows, lists we acquire into our CRMs
3. Constantly Clean Contacts:
a. Research, Add & Update customer records in Keap, Salesloft, Autotask, CRM and other tools
b. Apply proper tags to prospect records to ensure assignment to associated marketing activities.
c. Maintain 100% accuracy of all client/contact data.
4. Recurring Outbound Telephone work to support 5-7 Marketing Campaigns per month
a. Calls are recorded for training purposes
5. Attend trainings and attain competency in our Marketing and CRM Platforms
6. Participate in weekly team meetings
Experience and Skills for success in this role:
· Great telephone skills with the ability to move from call to call quickly while documenting key data from each call in our system.
· Self-Management – Ability to structure daily activities to stay on pace with outbound calls as well as other duties.
· Great communicator and comfortable with calling 100 customers/prospects on the phone every day
· Impeccable written communication skills
· Skilled at getting customers to talk to you; great listening and documentation skills
· Acumen with engaging customers to call you back
· Ability to have business conversations with Decision Makers
· Understanding of Organizational Structures and decision makers by vertical market
· Keap, Autotask, Salesloft, Technology Marketing Toolkit, Marketing Automation Platforms experience is strongly desired
· Must be very organized and very detail-oriented- follow-up, accuracy, diligence are key.
· Competent computer skills including MS Excel, Word
· Internet skills including use of e-mails, group messaging, data research and collection.
· Skilled and experienced in Customer service.
· High School Diploma or equivalent
Other Requirements:
If virtual, must have a quiet space in your home for uninterrupted calls 8:30-5:00 EST Monday-Friday
We will provide a cell phone and headphones for call quality. Calls must be made through our Platform for QA.
We will also provide a laptop, and necessary software.
Hours 8:30-5 M-F
Job Types: Full-time, Part-time
Pay: $45,000.00 - $60,000.00 per year
Expected hours: 20 – 40 per week
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Health insurance
Paid time off
Vision insurance
Work from home
Experience level:
3 years
4 years
5 years
Shift:
8 hour shift
Supplemental pay types:
Performance bonus
Weekly day range:
Monday to Friday
Work setting:
Office
Remote
Work Location: Remote"
Sales Associate,Mckenzie Global Marketing LLC,Remote,"$3,000 - $8,000 por mes",Part-time,"Responsibilities and Duties:

Develop and execute digital marketing campaigns for clients, including strategy development and campaign setup.
Collaborate with clients to understand their business objectives and create tailored marketing campaigns that align with their goals.
Create persuasive and engaging marketing materials.
Conduct market research to identify industry trends, competitor strategies, and customer preferences, and leverage insights to enhance campaign strategies.
Develop and negotiate contracts with clients, outlining campaign deliverables, timelines, and pricing agreements.
Provide regular reports and updates to clients on campaign performance
Stay up-to-date with the latest digital marketing trends, tools, and best practices, and proactively apply new knowledge to drive innovation and results.

Qualifications
Education:

Minimum High School Diploma or equivalent

Experience:

Minimum of 2 years of experience in digital marketing, sales, or a related role.
Proven track record of developing and executing successful marketing campaigns that drive sales and lead generation.
Experience in creating and managing contracts and negotiating agreements with clients.

Technical Skills:

Proficiency in Social media platforms, including Instagram, facebook, Tik Tok etc.
Strong knowledge of lead generation strategies and tactics, including search engine optimization (SEO), content marketing, and social media advertising.
Familiarity with CRM systems and marketing automation tools for lead tracking and management.

Soft Skills:

Excellent communication and interpersonal skills, with the ability to effectively communicate with clients, understand their needs, and build strong relationships.
Strong sales and negotiation skills, with the ability to drive revenue growth and secure new business opportunities.
Strong organizational skills and attention to detail to effectively manage multiple campaigns and client projects simultaneously.
Creative thinker with the ability to develop innovative marketing strategies and campaigns.
Self-motivated and proactive, with the ability to work independently and collaboratively in a fast-paced environment."
Sales & Reservations Agent (Part Time),U-Haul,Remote,$13 por hora,Part-time,"Sales & Reservations Agent (Part Time)
Purpose of Job
If you are self-motivated and enjoy a fast-paced environment with the opportunity to perform and sharpen your skills in customer sales and support, a job as a U-Haul Sales & Reservations Agent may be for you. Sales and Reservations Agents take back-to-back, incoming calls from customers who need help with U-Haul products and services. Primary duties include:
Serving customers by quoting rental rates and earning new business through sales and cross-selling.
Providing support to customers with existing business - making changes to reservations, answering general questions, helping customers with concerns, and taking storage payments.

Our Sales & Reservations Agent role may be a new career for you, but the initial education period is mapped out. Our comprehensive, paid, four-week education program is fast paced and hands on and will help to build upon your skill set through continuous coaching and education. It includes instructor-led class discussions, hands-on education, and e-learning modules through our very own U-Haul University. The instructor-led guidance will help you to support our customers independently as you learn and begin performing some of your job duties, including taking live calls with customers the first week.
Job Requirements
We are currently seeking dedicated professionals to work remotely (work from home) in customer sales and support with the desire to work a part time schedule. As a Sales & Reservations Agent, you will work within defined guidelines, including scripting and reading customer advisories, to facilitate the reservation process for customers through needs-based, inbound sales calls.
Primary Responsibilities:
Identifies and confirms the customer’s moving needs and finds needs-based solutions by matching the available products or services with the customer’s needs.
Recommends new or alternate products and services that might be of interest to the customer, or cross-selling products and services.
Learn and sell the benefits of doing business with U-Haul.
Maintains a high level of customer service and satisfaction and demonstrates commitment to quality through positive and upbeat customer interactions.
Minimum Experience:
Up to one year of customer service or sales experience.
Strong interpersonal and communication skills (clear speaking voice, excellent verbal communication, and active listening skills).
Ability to prioritize and multi-task, including navigating through and using multiple business applications.
Successful completion of a job-related assessment is required.
Preferred Experience:
One year of customer contact experience in a needs-based sales environment.
Experience in a fast-paced contact center environment.
6+ months experience frequently communicating with customers by phone, e-mail, chat, and/or face-to-face.
Perks of joining the U-Haul Team!
Compensation: U-Haul offers Sales & Reservations Agents an hourly base pay of $13.00 plus discretionary sales bonus, with the potential to earn $17-20 per hour and the opportunity for base pay merit increases based on performance.
(Note: Hourly base pay rate may be higher, depending on state or local minimum wage laws.)
Benefits: At U-Haul our part time Team Members enjoy benefits to support their physical, financial, and emotional wellness. Additionally, our career path planning and continuing education assists employees with their professional goals.
U-Haul Offers:
Career stability
Opportunities for advancement
Mindset App Reimbursement
Gym Reimbursement Program
Health insurance & Prescription plans if eligible
Paid holidays, vacation, and sick days if eligible
Life insurance
MetLaw Legal program
MetLife auto and home insurance
Discounts on Apple products, Dell computers, cell phone plans, hotels, and more
401(k) Savings Plan
Employee Stock Ownership Plan (ESOP)
24-hour physician available for kids
Dental & Vision Plans
Business travel insurance
You Matter EAP
LifeLock Identity Theft Protection
Critical Illness/Group Accident Insurance
Dave Ramsey’s SmartDollar Program
Scheduling Requirements:
Below are the available shifts (all in Arizona time).
Monday-Friday: 1:00pm-10:00pm
Saturday: 3:30pm- 10:00pm
Sunday: 4:00am-10:00pm
Available to work at least four days a week (one of which must be a weekend day - Saturday or Sunday, but both is preferred).
Provide at least 20 hours of availability per week (8 of which must be on the weekend).
Working holidays are required in order to provide support for our customers year-round. You may be scheduled to meet the Team and business needs.
The following is required to work from home:
You must have a quiet, private work area.
Dependent and child-care arrangements must be made as if you were working in-person at a U-Haul facility. This position does not allow flexibility to be on-call care for others during work hours.
All work duties, including initial education, must be performed at your home address.
If you want to switch or substitute computers at any time, Manager approval is required.
The following technical requirements must be met to work from home:
Computer requirements and internet speed will be verified, if interviewed. Additional requirements may apply.
Computer Specifications:
Windows 10 or 11
8GB of RAM/memory or higher
Processor must have CPU benchmark score of 2,000 or higher
Additional Hardware:
Webcam (external or built in is ok)
USB headset (wired)
Internet speeds:
Ping under 100
10mb download
5mb upload
The following is not permitted due to compatibility, performance, security, or other concerns:
MAC Operating Systems
Mobile hot-spot, tethering, satellite Internet, or similar.
Using a Proxy server or third-party network.
Computer stick or similar device.
Rental, rent-to-own, or public computer/laptop.
Working in a public place or using public Internet.
Unsecure Wi-Fi / Wi-Fi not managed by the Team Member.
Running non-work-related programs while working.
Having any other anti-virus installed/in use on your computer while working other than the Company provided anti-virus.



U-Haul is an equal opportunity employer. All applications for employment will be considered without regard to race, color, religion, sex, national origin, physical or mental disability, veteran status, or any other basis protected by applicable federal, provincial, state, or local law. Individual accommodations are available on requests for applicants taking part in all aspects of the selection process. Information obtained during this process will only be shared on a need to know basis.

About Us
Since 1945, U-Haul has been serving do-it-yourself movers and their households. Like many other successful ventures, the concept for U-Haul was generated out of need. After World War II, there existed the widespread need for do-it-yourself moving equipment that would be available on a one-way, nationwide basis.
U-Haul co-founders L.S. ""Sam"" Shoen and his wife, Anna Mary Carty Shoen, recognized that need and acted upon it. Their visionary approach spread the cost of ownership among many users, facilitating the mobility of the populations of the U.S. and Canada. The covered wagon of the pioneers morphed into orange U-Haul trailers. In the process, an industry was born.
U-Haul Holding Company and its family of companies, including U-Haul, have strived to create a culture of health and wellness. As of February 1, 2020, and consistent with applicable law, no U-Haul Holding Company or its family of companies will hire individuals in states where it may lawfully decline to hire individuals who use nicotine products (Alabama, Alaska, Arizona, Arkansas, Delaware, Florida, Georgia, Hawaii, Idaho, Iowa, Kansas, Maryland, Massachusetts, Michigan, Nebraska, Pennsylvania, Texas, Utah, Vermont, Virginia and Washington). This policy will not apply to team members hired before February 1, 2020."
Sales Associate,Foot Locker,"1 W Flatiron Crossing Dr, Broomfield, CO 80021",$15.42 por hora,Part-time,"Overview:
You shop here all the time. So why not work here? As part of a team, your primary focus is to create a warm and friendly shopping environment by providing extreme customer service. You will be accountable for knowing and achieving personal productivity goals, to divisions’ productivity standards.

Even the rookies get to start on our team!

Responsibilities:
Ensuring high levels of customer satisfaction by being knowledgeable on all products offered, and teaming up with co-workers to provide excellent sales service
Delivering sales, outstanding customer experience, and operational expectations
Maintaining personal and productivity goals
Connects with every customer by asking open-ended questions to assess needs
Ability to learn and share expertise of products and trends to fit customer’s needs
Maintains an awareness of all product knowledge, and current or upcoming product / trends
Contributes to a positive and inclusive work environment
Qualifications:
0-3 year of retail experience
Confident and comfortable engaging customers to deliver an elevated experience
Motivated to achieve great results because of one's enthusiasm from interacting with customers and athletic products
Initiates completion of tasks or activities without necessary supervision
Flexible availability – including nights, weekends, and holidays
Benefits:
Rate of Pay: $15.42 / hour"
Inside Phone Sales Representative - Remote,A Place For Mom,"New York, NY","$51,500 por año",Full-time,"Company Description

About A Place for Mom
We’re the leading online platform connecting families searching for senior care with a team of experienced local advisors providing insight-driven, personalized solutions. As the nation’s most trusted senior advisory service, we are a mission-based organization that enables caregivers to make the best senior living decisions for their loved ones. With hundreds of senior living experts nationwide, A Place for Mom helps hundreds of thousands of families each year simplify the process of finding the right senior care solution across home care, independent living, memory care, assisted living, and more. Our services are offered at no cost to families as we’re paid by the 14K+ communities and 3K+ providers in our network.
Recently awarded one of the 2022 Best Places to work in NY and Best HR teams by comparably, the leading workplace culture and brand reputation platform, A Place for Mom is committed to fostering, cultivating, and preserving a culture of diversity, equity, and inclusion.
Employees who thrive at A Place for Mom live our values every day:
Focus on excellence
Act with integrity and assume positive intent
Drive outcomes every day with passion and a sense of mission
Make the lives of our families and customers better, easier and more successful
Realize the full potential in each team member
- work as a single supportive team

Job Description

What you will do:
Work in a growing, fast-paced industry to help educate families on senior care options and find the right communities to meet their needs while working remotely from your home office.
Take inbound, pre-screened leads and help guide families from initial consultation, to touring of facilities, and ultimately moving into a senior living community.
Act as the liaison between families in need and the senior housing communities or care providers.
Who you are
A selling machine!
Highly empathetic
Excited to work in the unique industry of senior living
What will make you successful
Success is measured by reaching daily call benchmarks, scheduling tours at communities, and converting leads into move-ins resulting in achievement of a monthly quota.
Passion to learn – We offer an extensive new hire training program to prepare you to assist the families as well as ongoing feedback to help you improve performance over time.
Competitive by nature - You need to be self-motivated and have the drive to win and hit your sales goals
Technically proficient – You must be proficient at both Microsoft Office as well as have the ability to learn and use our internal CRM systems.
Flexibility - You need to be available to work evening, nights and weekends. We are a consumer facing business and we need to be available when our families need us.

Qualifications

Required Skills and Competencies
Bachelor’s degree preferred
History of exceeding sales quota
Ability to multi-task; simultaneously talk on the phone and take notes on the computer.
Strong computer and typing skills necessary, including Word and Excel.

Additional Information

Schedule
You will work with your Regional Manager to establish a full-time, 40 hour work schedule on an hourly, non-exempt basis. Schedules are set based on business needs, and may include regularly scheduled evenings, weekends, and end of month, along with some holiday shifts during the year.
Compensation
Base Salary: $51,500
On Target Earnings: $86,500+ (Uncapped)
Benefits:
401(k) plus match
Dental Insurance
Health Insurance
Vision Insurance
Paid Time Off
All candidate information will be kept confidential in accordance with EEO guidelines.
A Place for Mom uses E-Verify to confirm the employment eligibility of all newly hired employees. To learn more about E-Verify, including your rights and responsibilities, please visit www.dhs.gov/E-Verify.
#LI-TF1
#LI-Remote"
Sales Associate,Five Below,"3729 South Mooney Boulevard, Visalia, CA 93277",$16 por hora,Part-time,"At Five Below our growth is a result of the people who embrace our purpose: We know life is way better when you are free to Let Go & Have Fun in an amazing experience, filled with unlimited possibilities, priced so low, you can always say yes to the newest, coolest stuff! Just ask any of our over 17,000 associates who work at Five Below and they’ll tell you there’s no other place like it. It all starts with our purpose and then, The Five Below Way, which is our values and behaviors that each and every associate believes in.
It’s all about culture at Five Below, making this a place that can inspire you as much as you inspire us with big ideas, super energy, passion, and the ability to make the workplace a WOWplace!
What does the Sales Associate do?
If you want to be at the beat of the Five Below pulse, our part-time Sales Associates get right in the middle of all store action. Perfect candidates have an undying passion for delivering amazing customer service, while also driving high sales results. Key traits include having amazing people and selling skills, a keen eye for ensuring merchandise is on the floor in an organized fashion, keeping the floor stocked-up flawlessly and providing super smooth transactions at the register.
How do they do it?
The sales associate embraces and lives the Five Below Value! These values translate into creating the coolest brand on the plant, where talented people want to grow their careers…and here is how!
Wow the Customer : Put the customer first and make a difference in people’s lives
Unleash Passion : Check your ego at the door and do what you say you will do
Hold the Penny Hostage : Treat Five Below like your own business and hire talent that will do the same
Achieve the Impossible : Set the bar high for self and team and make sure to take risks
Work Hard, Have Fun, Build a Career : Come to work ready to take on the day, create a fun atmosphere and recognize the team for all the efforts
RESPONSIBILITES:
Adheres to all standard operating procedures and policies
Responsible for cash handling procedures
Reviews and responsible for all corporate communications applicable to their assigned area
Assists in merchandising procedures
Responsible for maintaining assigned area
Sets and maintains Market Plan and other merchandise directives
Assists with execution of company data integrity process
Delivers exceptional customer service through personal contact with customers
Interacts with and assists customers
Assists in receiving and stocking procedures
Unloads merchandise from trucks
Checks in shipments
Drives store sales which may include performing in all Five Below services (ear piercing, balloons, buy online pick up in store, etc.)
Stages merchandise for the sales floor
Packs out merchandise
Performs store maintenance including but not limited to taking out garbage, sweeping, cleaning bathrooms, maintaining stock room
This job description is not all inclusive. Additional responsibilities will be determined by the General Manager, as dictated by store needs.
Standing entire shift
Frequently operate cash register
Frequently move merchandise weighing up to 25 lbs and places/removes merchandise up to a height of 5-10 feet
Frequently ascend/descend ladders in order to retrieve and put away stock
Frequently position self to kneel, bend, and stoop, including in the stock room and on the sales floor
Frequently communicate and exchange information with customers and coworkers on the telephone and face-to-face in the store. Must be able to exchange accurate information in these situations
Frequently move across the sales floor assisting customers, as well as to and from the stock room retrieving and putting away merchandise
QUALIFICATIONS:
Excellent verbal and written communication skills
Ability to multi-task
Creative thinking
Ability to maintain composure under pressure
The pay range for this position is ($16.00 per hour). Pay may vary bases on a number of factors, including but not limited to a candidate's job related knowledge, skills and experience, educational background; and geographic location. Dependent on the position offered, benefits, bonus and incentive payments, and other forms of compensation may be provided as part of a total compensation package.
If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!
Five Below is an Equal Opportunity Employer.
Position Type:
Hourly
BE AWARE OF FRAUD! Please be aware of potentially fraudulent job postings or suspicious recruiter activity by persons that are posing as a Five Below recruiters. Please confirm that the person you are working with has an @ fivebelow.com email address. Additionally, Five Below does NOT request financial information or payments from candidates at any point during the hiring process. If you suspect fraudulent activity, please visit Five Below’s Careers Site at www.fivebelow.com/info/careers to verify the posting."
Remote Sales Associate,Zuri Furniture,Remote,"Desde $52,500 por año",Full-time,"Do you describe yourself as smart, friendly, and tech-savvy? Do you have an eye for design and a sense of style? Can you effortlessly blend product knowledge with people skills? If you said yes, then we want to meet you!
Zuri is a growing retailer of modern furnishings based here in Dallas. We develop and distribute our own designs which are sold through ecommerce and retail channels. This remote-based position plays an essential role in our sales department.
Design Consultants focus on cultivating customer relationships, driving sales, and enhancing customer experiences. They also play a key role in e-commerce sales, engaging with customers through chat and phone.
Annual Compensation: $52,500+.
YOU WILL:
Provide luxury service by building a personal relationship with your customers
Lead revenue generation through an elevated sales experience
Use problem-solving skills and excellent customer service to handle objections and negotiate deals
Actively partner with customer service, warehouse, and other cross-functional teams
Utilize a Customer Relationship Management (CRM) system to generate leads and build customer relationships through outreach
ESSENTIAL REQUIREMENTS:
A friendly and approachable demeanor
Demonstrated experience in customer relationship building
Strong sales skills
An eye for design and style
Ability to quickly learn processes, systems and new software
Willingness to work retail hours (range from 8am-11pm CT), this includes nights, weekends, and holidays. The work schedule will total 40 hours per week.
PAY, BENEFITS, PERKS & DETAILS:
401k with employer match
Health, dental, and vision insurance coverage
Short term disability, critical illness, accident, life and AD&D insurance coverage
Paid time off and holidays
Maternity/Paternity benefits
Discounts on furniture
Gym membership reimbursements
Who are we? Zuri is a modern furnishings company founded in Dallas, Texas. We opened our first showroom in 2006 and have grown to a nationwide brand through ecommerce. Our business is founded on bold and unique designs for a modern era. Bonus points if you’ve seen one of our billboards. Come be a part of our growing team!
Zuri Furniture is proud to be a company that respects the unique values, talents, and backgrounds of each employee and applicant. We are committed to ensuring that everyone has an equal opportunity to grow, develop and be successful. We will never discriminate due to race, religion, skin color, gender identity, sexual orientation, national origin, ethnicity, age, disability, or any other status. Our goal is to go above and beyond purely symbolic measures by building a culture focused on creating an inclusive workforce.
Job Type: Full-time
Pay: From $52,500.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Employee discount
Health insurance
Health savings account
Life insurance
Paid time off
Parental leave
Professional development assistance
Retirement plan
Vision insurance
Schedule:
8 hour shift
Day shift
Evening shift
Every weekend
Holidays
Work Location: Remote"
Sales Associates-Gran Plaza Outlets,The Children's Place,"Calexico, CA",$15.50 - $18.75 por hora,Part-time,"Location:
Calexico, California
Job Summary:
The Sales Associate will be responsible for supporting the Store Leadership Team to achieve all company goals and initiatives. The Sales Associate will model and maintain excellent customer service with effective communication, product knowledge, and appropriate selling techniques. The Sales Associate will maintain company standards of all merchandise presentation, replenishment, and sizing while maintaining a new and clean store and backroom.

Responsibilities:
Key Accountabilities:
Be aware of customer activity and respond with a sense of urgency, prioritizing assisting customers over other tasks
Greet and acknowledge customers while providing the appropriate level of service
Effectively communicate value and quality of our merchandise while sharing our current promotions and offer solutions for “out of stock” items when necessary
Exercise sound judgment in effectively addressing customer concerns
Demonstrate the appropriate level of selling skills to positively impact conversion
Provide fast, friendly, and accurate service at the cashwrap while educating customers on the benefit of the PLACE Card
Maintain appropriate stock levels and ensure that all sizes and styles are represented
Follow company standards of merchandise presentation, signage, and display
Support and maintain a neat, clean, and organized stockroom while adhering to a customer ready environment, and adhering to safety requirements
Perform daily housekeeping duties to company standard
Guarantee company assets by ensuring adherence to all Loss Prevention procedures
Inform Store Leadership Team of maintenance and facility needs promptly to ensure that customers and associates are provided a clean and safe environment
Contribute focused, well-managed efforts towards achievement of store goals
Exhibit flexibility by processing stock when necessary
Education and Experience:
High School diploma or equivalent
Previous retail experience preferred
Must be at least 18 years of age
Skills and Behaviors:
Excellent customer engagement
Demonstrated time management and organizational skills
Ability to work in team environment
Must be adaptable and flexible to changing priorities
Ability to work a flexible schedule to meet business needs, including weekends, overnights, evenings, and call-in shifts
Ability to maneuver on sales floor and stockroom; climb ladder, lift and carry up to 50 lbs
Hourly/Salary
$15.50 - $18.75 Per Hour"
